,$Name,$_PRimaryGroup,$Parent,$OpeningBalance,$ClosingBalance,$_PrevYearBalance,$IsRevenue,$PartyGSTIN,$MasterId,$AlterID,$Nature_Led,$UpdatedDate,$UpdatedTime,$CreatedBy,$CreatedDate,$AlteredDate,$AlteredBy,$LastVoucherDate,$CompanyName,$Year_from,$Year_to,$Company_number,$Path,$Amount,$Date,$VoucherNumber,$Type
1948,2202010100/ACCOUNTS PAYABLE-IG/Trulytrips And Events Private Limit,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1771.0,13436.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1949,2202010100/ACCOUNTS PAYABLE-IG/V R Stallion,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1387.0,13054.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1950,2202020099/ACC PAY OG EX RE,Sundry Creditors,Sundry Creditors,12671.95,93046.43,12671.95,0.0,,262.0,12516.0,BS,,0.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1951,2202020100/ACCOUNTS PAYABLE-OG/A1 Office Systems,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1540.0,13206.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1952,2202020100/ACCOUNTS PAYABLE-OG/AAJ Enterprises Pvt Ltd,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2200.0,13865.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1953,2202020100/ACCOUNTS PAYABLE-OG/A AND A MEDIA GROUP,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2418.0,14083.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1954,2202020100/ACCOUNTS PAYABLE-OG/AARK &amp; CO LLP,Sundry Creditors,Sundry Creditors,0.0,,,0.0,,3011.0,14632.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1955,2202020100/ACCOUNTS PAYABLE-OG/AARK & CO LLP,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,641.0,12877.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1956,2202020100/ACCOUNTS PAYABLE-OG/ABHAYA POWER SYSTEMS PVT LTD,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1857.0,13522.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1957,2202020100/ACCOUNTS PAYABLE-OG/A.B.HOTELSLIMITED,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3408.0,15932.0,BS,2024-11-05,150122000.0,,,,,2024-06-30,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1958,2202020100/ACCOUNTS PAYABLE-OG/ACCURA TRADE LINK PRIVATE LIMITED,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2468.0,14133.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1959,2202020100/ACCOUNTS PAYABLE-OG/adecco India Pvt Ltd,Sundry Creditors,Sundry Creditors,3030028.86,1665498.27,3030028.86,0.0,,1480.0,13146.0,BS,,0.0,,,,,2025-01-22,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1960,2202020100/ACCOUNTS PAYABLE-OG/ADITYA BIRLA HEALTH INSURANCE CO LT,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2931.0,14553.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1961,2202020100/ACCOUNTS PAYABLE-OG/Ahaan Consulting,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3404.0,15933.0,BS,2024-11-05,150126000.0,,,,,2024-05-20,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1962,2202020100/ACCOUNTS PAYABLE-OG/Airmax International Packers And Mo,Sundry Creditors,Sundry Creditors,0.0,,,0.0,,474.0,12728.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1963,2202020100/ACCOUNTS PAYABLE-OG/Airtravel Enterprises India Ltd,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,327.0,12581.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1964,2202020100/ACCOUNTS PAYABLE-OG/AJAY INTERNATIONAL,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3530.0,15934.0,BS,2024-11-05,150130000.0,,,,,2025-01-30,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1965,2202020100/ACCOUNTS PAYABLE-OG/Akhilesh Kumar Jain,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1578.0,13243.0,BS,,0.0,,,,,2024-07-22,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1966,2202020100/ACCOUNTS PAYABLE-OG/Al-Hadaya,Sundry Creditors,Sundry Creditors,120466.0,0.0,120466.0,0.0,,2067.0,13732.0,BS,,0.0,,,,,2024-04-02,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1967,2202020100/ACCOUNTS PAYABLE-OG/Alo Logistics LLP,Sundry Creditors,Sundry Creditors,207760.0,0.0,207760.0,0.0,,1446.0,13113.0,BS,,0.0,,,,,2025-01-29,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1968,2202020100/ACCOUNTS PAYABLE-OG/AMAN ENTERPRISES,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1383.0,13050.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1969,2202020100/ACCOUNTS PAYABLE-OG/Amarjeet Singh Aneja,Sundry Creditors,Sundry Creditors,0.0,-1731865.2,,0.0,,3407.0,15935.0,BS,2024-11-05,150134000.0,,,,,2025-01-24,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1970,2202020100/ACCOUNTS PAYABLE-OG/Anand Sweets And Savouries LLP,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1831.0,13496.0,BS,,0.0,,,,,2024-11-30,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1971,2202020100/ACCOUNTS PAYABLE-OG/ANIL CARGO PRIVATE LIMITED,New Ledgers,New Ledgers,0.0,0.0,,0.0,,3965.0,16494.0,BS,2025-02-12,163449000.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1972,2202020100/ACCOUNTS PAYABLE-OG/ANI Technologies Pvt. Ltd.,Sundry Creditors,Sundry Creditors,110668.23,-210.78,110668.23,0.0,,552.0,12788.0,BS,,0.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1973,2202020100/ACCOUNTS PAYABLE-OG/Anugan Associates,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1863.0,13528.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1974,2202020100/ACCOUNTS PAYABLE-OG/A P ENGINEERING,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2325.0,13990.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1975,2202020100/ACCOUNTS PAYABLE-OG/APOLLO HEALTH AND LIFE STYLE LIMITE,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2587.0,14209.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1976,2202020100/ACCOUNTS PAYABLE-OG/ARSHIYA PANVEL LOGISTICS SERVICES P,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2870.0,14492.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1977,2202020100/ACCOUNTS PAYABLE-OG/ARUNDHATI BALAJI SINGH-Blr Office -,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,549.0,12785.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1978,2202020100/ACCOUNTS PAYABLE-OG/ARUN DUA &amp; ASSOCIATES,Sundry Creditors,Sundry Creditors,0.0,,,0.0,,3012.0,14633.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1979,2202020100/ACCOUNTS PAYABLE-OG/ARUN DUA & ASSOCIATES,Sundry Creditors,Sundry Creditors,0.0,,,0.0,,679.0,12915.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1980,2202020100/ACCOUNTS PAYABLE-OG/ARYA ENTERPRISES,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3711.0,15936.0,BS,2024-11-05,150137000.0,,,,,2024-12-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1981,2202020100/ACCOUNTS PAYABLE-OG/Asterix Energy,Sundry Creditors,Sundry Creditors,0.0,,,0.0,,281.0,12535.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1982,2202020100/ACCOUNTS PAYABLE-OG/ATRIA CONVERGENCE TECHNOLOGIES LTD,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2578.0,14200.0,BS,,0.0,,,,,2025-01-23,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1983,2202020100/ACCOUNTS PAYABLE-OG/Atul Agarwal,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2746.0,14368.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1984,2202020100/ACCOUNTS PAYABLE-OG/Avante Global Services Pvt Ltd,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2453.0,14118.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1985,2202020100/ACCOUNTS PAYABLE-OG/Avvashya CCI Logistics Pvt Ltd,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,643.0,12879.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1986,2202020100/ACCOUNTS PAYABLE-OG/Awfis Space Solutions Limited,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,3294.0,14911.0,BS,,0.0,,,,,2025-01-22,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1987,2202020100/ACCOUNTS PAYABLE-OG/Bajaj Allianz General,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1859.0,13524.0,BS,,0.0,,,,,2024-07-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1988,2202020100/ACCOUNTS PAYABLE-OG/Baljit Singh,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,459.0,12713.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1989,2202020100/ACCOUNTS PAYABLE-OG/Balsai Infotech,Sundry Creditors,Sundry Creditors,98544.16,0.0,98544.16,0.0,,1447.0,13114.0,BS,,0.0,,,,,2025-01-23,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1990,2202020100/ACCOUNTS PAYABLE-OG/Bangalore King Logistics,Sundry Creditors,Sundry Creditors,1308228.0,0.0,1308228.0,0.0,,2711.0,14333.0,BS,,0.0,,,,,2025-01-28,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1991,2202020100/ACCOUNTS PAYABLE-OG/BANNERUGHATTA PARK HOTEL AND RESORT,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3630.0,15937.0,BS,2024-11-05,150140000.0,,,,,2024-09-30,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1992,2202020100/ACCOUNTS PAYABLE-OG/BARODA FREIGHT CARRIER,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3527.0,15938.0,BS,2024-11-05,150155000.0,,,,,2024-12-09,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1993,2202020100/ACCOUNTS PAYABLE-OG/BEATFORGE ENTERTAINMENT PVT LTD,Sundry Creditors,Sundry Creditors,8892.0,0.0,8892.0,0.0,,2576.0,14198.0,BS,,0.0,,,,,2025-01-08,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1994,2202020100/ACCOUNTS PAYABLE-OG/Bharti Airtel Limited,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1778.0,13443.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1995,2202020100/ACCOUNTS PAYABLE-OG/Bharti Airtel Limited Bangalore,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,325.0,12579.0,BS,,0.0,,,,,2025-01-22,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1996,2202020100/ACCOUNTS PAYABLE-OG/Bharti Airtel Mumbai,Sundry Creditors,Sundry Creditors,0.0,,,0.0,,454.0,12708.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1997,2202020100/ACCOUNTS PAYABLE-OG/Bhavya Agencies,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1412.0,13079.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1998,2202020100/ACCOUNTS PAYABLE-OG/BIKANERVALA GURGAON,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2888.0,14510.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
1999,2202020100/ACCOUNTS PAYABLE-OG/BIOMAX SAFETY AND SECURITY SYSTEMS,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3789.0,16244.0,BS,2024-12-06,165158000.0,,,,,2024-11-30,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2000,2202020100/ACCOUNTS PAYABLE-OG/BIRD AIRPORT HOTEL PRIVATE LIMITED,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2382.0,14047.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2001,2202020100/ACCOUNTS PAYABLE-OG/Blue Dart Express Limited,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1503.0,13169.0,BS,,0.0,,,,,2025-01-21,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2002,2202020100/ACCOUNTS PAYABLE-OG/Blu-Smart Mobility Tech Pvt Ltd,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2167.0,13832.0,BS,,0.0,,,,,2025-01-24,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2003,2202020100/ACCOUNTS PAYABLE-OG/BOILLA PRADEEP,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3643.0,15939.0,BS,2024-11-05,150158000.0,,,,,2024-09-18,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2004,2202020100/ACCOUNTS PAYABLE-OG/BOMBAE APPARELS,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2710.0,14332.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2005,2202020100/ACCOUNTS PAYABLE-OG/BOXWISH INFOTECH LLP,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2584.0,14206.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2006,2202020100/ACCOUNTS PAYABLE-OG/Brandure,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3707.0,15940.0,BS,2024-11-05,150201000.0,,,,,2024-10-30,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2007,2202020100/ACCOUNTS PAYABLE-OG/Brandworks Media Private Limited,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2471.0,14136.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2008,2202020100/ACCOUNTS PAYABLE-OG/BRIDGE TO INDIA ENERGY PRIVATE LIMI,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2479.0,14144.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2009,2202020100/ACCOUNTS PAYABLE-OG/BROEKMAN LOGISTICS INDIA PVT LTD,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1498.0,13164.0,BS,,0.0,,,,,2025-01-29,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2010,2202020100/ACCOUNTS PAYABLE-OG/Brown Shop,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1470.0,13136.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2011,2202020100/ACCOUNTS PAYABLE-OG/Cash Ur Drive Marketing Ltd,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3398.0,15941.0,BS,2024-11-05,150204000.0,,,,,2024-09-30,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2012,2202020100/ACCOUNTS PAYABLE-OG/CELESTIAL RENEWEXPERTS LLP,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2366.0,14031.0,BS,,0.0,,,,,2024-12-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2013,2202020100/ACCOUNTS PAYABLE-OG/C Faheera Banu,Sundry Creditors,Sundry Creditors,11000.0,0.0,11000.0,0.0,,2574.0,14196.0,BS,,0.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2014,2202020100/ACCOUNTS PAYABLE-OG/Champ Excel Consulting,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2415.0,14080.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2015,2202020100/ACCOUNTS PAYABLE-OG/Chetan Kumar Voni,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3718.0,15942.0,BS,2024-11-05,150207000.0,,,,,2025-01-31,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2016,2202020100/ACCOUNTS PAYABLE-OG/CHETAN TOUR &amp; TRAVELS,Sundry Creditors,Sundry Creditors,0.0,0.0,,0.0,,3013.0,14634.0,BS,,0.0,,,,,2024-09-23,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2017,2202020100/ACCOUNTS PAYABLE-OG/CHETAN TOUR & TRAVELS,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2300.0,13965.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2018,2202020100/ACCOUNTS PAYABLE-OG/Cholamandalam MS,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,1913.0,13578.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2019,2202020100/ACCOUNTS PAYABLE-OG/City Stationers,Sundry Creditors,Sundry Creditors,10010.0,0.0,10010.0,0.0,,495.0,12749.0,BS,,0.0,,,,,2025-01-23,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2020,2202020100/ACCOUNTS PAYABLE-OG/CLUB CABANA RECREATIONS PVT LTD,Sundry Creditors,Sundry Creditors,0.0,0.0,0.0,0.0,,2153.0,13818.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
2021,2202020100/ACCOUNTS PAYABLE-OG/CM Construction Company,Sundry Creditors,Sundry Creditors,0.0,,,0.0,,586.0,12822.0,BS,,0.0,,,,,2024-04-01,SIPL BANGALORE - (from 1-Apr-20),2024-04-01,2024-04-30,100001.0,C:\Users\pc\Desktop\Ashwini Final Tally Data\Feb 2025,,,,
